coverage,divergence,heterozygosity,iteration,total.reads,has.match,multi.match,primary.match.only,secondary.match.only,both.matches,no.matches,missing.in.query,primary.err,pair.err,pos.err,chr.err,exact.map,close.map,mismapped,diff.chr,unmapped
30,0.10,0.005,3,17869110,17023046,9832,8779450,8242418,1178,0,846064,0,0,888,0,7818944,609353,9955,351652,8242418
30,0.10,0.005,2,17869110,17023046,12759,8903709,8117829,1508,0,846064,0,0,1223,0,7707858,758147,11638,439479,8117829
30,0.10,0.005,1,17869110,17023046,32151,9776472,7243899,2675,0,846064,0,0,3708,0,6833246,2146455,21263,807222,7243899
30,0.08,0.005,3,17852906,17009114,3102,9853102,7155726,286,0,843792,0,0,80,0,9220680,368539,8786,258533,7155726
30,0.08,0.005,2,17852906,17009114,3790,9905971,7102762,381,0,843792,0,0,80,0,9149947,426971,10425,322863,7102762
30,0.08,0.005,1,17852906,17009114,11973,10404174,6604032,908,0,843792,0,0,295,0,8472749,1391032,18075,535149,6604032
30,0.06,0.005,3,17835194,16990920,840,11228097,5762765,58,0,844274,0,0,16,0,10765983,235685,9100,218240,5762765
30,0.06,0.005,2,17835194,16990920,1085,11253845,5737001,74,0,844274,0,0,19,0,10715316,256105,10774,272828,5737001
30,0.06,0.005,1,17835194,16990920,3234,11508397,5482291,232,0,844274,0,0,30,0,10239720,836035,17944,418205,5482291
30,0.04,0.005,3,17817728,16973972,168,12839315,4134647,10,0,843756,0,0,4,0,12468265,155657,10814,204758,4134647
30,0.04,0.005,2,17817728,16973972,225,12852712,4121246,14,0,843756,0,0,7,0,12426081,162026,12421,252421,4121246
30,0.04,0.005,1,17817728,16973972,765,12960000,4013956,16,0,843756,0,0,7,0,12134857,450441,19171,356324,4013956
30,0.02,0.005,3,17799050,16954322,27,14745124,2209198,0,0,844728,0,0,0,0,14436645,90617,13150,204739,2209198
30,0.02,0.005,2,17799050,16954322,24,14749798,2204523,1,0,844728,0,0,1,0,14404350,91854,14676,238944,2204523
30,0.02,0.005,1,17799050,16954322,134,14775455,2178867,0,0,844728,0,0,3,0,14265770,179377,21637,308804,2178867
30,0.00,0.005,3,17777622,16935318,8,16935318,0,0,0,842304,0,0,0,0,16602389,23955,22373,286609,0
30,0.00,0.005,2,17777622,16935318,7,16935318,0,0,0,842304,0,0,0,0,16603287,23893,22173,285972,0
30,0.00,0.005,1,17777622,16935318,2,16935318,0,0,0,842304,0,0,0,0,16628044,21775,23112,262389,0
